Date,Mkt_RF,SMB,HML,RMW,CMA,RF,AAPL_RET
2022-04-07,0.34,-0.61,-0.12,0.37,0.3,0.0,0.1804066995099607
2022-04-08,-0.38,-0.53,2.27,0.37,1.04,0.0,-1.1909012948068343
2022-04-11,-1.54,0.62,1.05,0.46,0.1,0.0,-2.5515866384963837
2022-04-12,-0.29,0.56,0.47,-0.24,1.07,0.0,1.1523255804120724
2022-04-13,1.39,0.61,-0.71,-1.0,0.0,0.0,1.6342547554762499
2022-04-14,-1.28,0.32,1.43,0.17,0.98,0.0,-2.9988176295213
2022-04-18,-0.19,-0.57,1.8,0.77,0.67,0.0,-0.1330762886866066
2022-04-19,1.76,0.4,-0.97,0.54,-1.26,0.0,1.411512814433591
2022-04-20,-0.27,0.5,1.26,0.77,1.18,0.0,-0.10155412418033638
2022-04-21,-1.73,-0.56,0.41,1.79,0.44,0.0,-0.4843624977090788
2022-04-22,-2.74,0.26,-0.18,-0.15,-0.21,0.0,-2.7821393950096085
2022-04-25,0.7,0.12,-1.86,0.11,-1.11,0.0,0.6737306738721749
2022-04-26,-2.99,-0.36,1.8,0.24,1.25,0.0,-3.7328111020925814
2022-04-27,0.13,-0.56,0.34,0.14,0.8,0.0,-0.14665819255249568
2022-04-28,2.45,-0.52,-0.42,0.48,0.05,0.0,4.5155225376765085
2022-04-29,-3.54,0.88,0.61,-0.24,0.68,0.0,-3.660476080305586
2022-05-02,0.8,0.38,-1.16,-0.63,-1.35,0.0,0.19665336611449646
2022-05-03,0.41,0.16,1.65,0.01,1.19,0.0,0.9622495574444612
2022-05-04,3.01,-0.47,0.24,0.02,0.07,0.0,4.100857838087091
2022-05-05,-3.8,-0.23,2.37,0.59,1.22,0.0,-5.571615083874448
2022-05-06,-0.85,-1.01,1.84,0.98,1.39,0.0,0.47270196798552266
2022-05-09,-3.52,-0.05,1.33,4.25,-0.2,0.0,-3.3189245488096764
2022-05-10,0.22,-0.49,-1.22,-0.68,0.28,0.0,1.611221752996994
2022-05-11,-1.93,-0.61,2.61,0.62,1.02,0.0,-5.184139364506935
2022-05-12,0.15,1.2,-1.23,-0.34,-1.12,0.0,-2.6894126118965356
2022-05-13,2.74,0.37,-2.18,-2.13,-0.75,0.0,3.191648923527124
2022-05-16,-0.59,0.09,1.31,0.19,1.31,0.0,-1.0672639615458168
2022-05-17,2.13,0.94,-0.05,-0.68,-0.31,0.0,2.542253083949708
2022-05-18,-4.06,0.46,1.54,-0.59,0.4,0.0,-5.641906476338166
2022-05-19,-0.34,0.4,-0.8,-1.21,-0.91,0.0,-2.4641267737838923
2022-05-20,-0.05,-0.13,-0.19,-0.1,0.19,0.0,0.17470979730107583
2022-05-23,1.75,-0.92,1.31,-0.05,0.97,0.0,4.011950100092765
2022-05-24,-1.21,-0.46,1.83,1.39,1.25,0.0,-1.9215972250067104
2022-05-25,1.21,0.74,0.2,-0.51,-0.03,0.0,0.1139939071037821
2022-05-26,2.18,0.01,-0.61,-0.14,-0.34,0.0,2.3199328036864975
2022-05-27,2.58,0.03,-1.28,-0.65,-0.28,0.0,4.075658209245159
2022-05-31,-0.71,-0.39,0.46,0.8,-0.21,0.0,-0.5345811917333188
2022-06-01,-0.74,0.23,0.8,-0.2,1.03,0.0,-0.08734507741532394
2022-06-02,2.08,0.4,-2.08,-0.42,-1.53,0.0,1.6811267577355515
2022-06-03,-1.63,1.03,0.55,-0.81,0.46,0.0,-3.855574190559996
2022-06-06,0.33,0.04,0.66,0.47,0.17,0.0,0.5227766668727485
2022-06-07,1.0,0.2,-0.15,-1.57,0.65,0.0,1.7585859889650557
2022-06-08,-1.02,-0.27,-0.52,-0.7,-0.25,0.0,-0.5043568501178264
2022-06-09,-2.43,0.46,0.26,0.85,0.21,0.0,-3.5955744415369972
2022-06-10,-3.0,0.27,0.66,0.29,0.55,0.0,-3.862857977647405
2022-06-13,-4.12,-0.46,0.6,1.69,-0.31,0.0,-3.8284854312319316
2022-06-14,-0.26,0.11,0.11,0.11,0.05,0.0,0.6672634005411737
2022-06-15,1.55,-0.03,-1.67,-0.19,-1.15,0.0,2.011151903839159
2022-06-16,-3.52,-1.09,0.0,0.59,-0.62,0.0,-3.9651250738756305
2022-06-17,0.45,0.73,-2.68,0.37,-2.03,0.0,1.1533047263463825
2022-06-21,2.38,-0.83,0.24,-0.93,0.0,0.0,3.276075078675822
2022-06-22,-0.19,0.04,-1.82,0.62,-1.59,0.0,-0.38272034632649277
2022-06-23,1.12,0.31,-3.89,0.5,-1.93,0.0,2.1573689501651616
2022-06-24,3.13,-0.42,-0.01,0.11,-0.37,0.0,2.451717489986538
2022-06-27,-0.27,0.77,1.25,-0.33,1.27,0.0,0.0
2022-06-28,-2.09,0.04,2.4,-0.69,1.33,0.0,-2.978961453170348
2022-06-29,-0.19,-0.58,-1.33,1.08,-0.87,0.0,1.3023882378978113
2022-06-30,-0.96,0.51,-0.14,0.9,-0.15,0.0,-1.8028080290352522
2022-07-01,1.15,-0.04,0.12,-0.8,-0.09,0.0,1.616463893528608
2022-07-05,0.48,1.12,-3.34,-1.85,-2.26,0.0,1.8930458849052645
2022-07-06,0.17,-0.87,-0.76,0.04,-0.35,0.0,0.9607401270294469
2022-07-07,1.76,0.87,-0.95,-0.8,-1.4,0.0,2.399934367316492
2022-07-08,-0.07,0.08,-0.08,-0.26,-0.22,0.0,0.471474671956873
2022-07-11,-1.38,-0.99,1.61,1.7,1.4,0.0,-1.475800120586146
2022-07-12,-0.89,0.88,0.52,0.15,0.92,0.0,0.6833880478152699
2022-07-13,-0.39,0.42,-0.41,0.03,-0.33,0.0,-0.2536781681864664
2022-07-14,-0.41,-0.45,-1.01,0.76,-0.01,0.0,2.0482679901370426
2022-07-15,1.96,0.03,0.5,-0.17,-0.31,0.0,1.1449981508130147
2022-07-18,-0.71,0.35,1.01,0.21,-0.18,0.0,-2.0643369197340222
2022-07-19,2.81,0.82,-0.54,-0.22,-0.66,0.0,2.672211807694902
2022-07-20,0.89,1.08,-1.32,-1.47,-1.59,0.0,1.3509704451978966
